"","siteName","studyCode","investigators","first_year","last_year","latitude","longitude","elevation","species","reference","doi","contr_year","NOAAStudyId","NOAASiteId","url"
"372","Weitz","USWEI001","Heyerdahl, E.K.; Morgan, P.",1582,1895,46.82721,-116.985,1030,"PIPO","Morgan; P.; Heyerdahl, E.K.; Strand, E.K.; Bunting, S.C.; Riser II, J.P.; Abatzoglou, J.T.; Nielsen-Pincus, M.; Johnson, M. Fire and land cover change in the Palouse Prairie-forest ecotone, Washington and Idaho, USA, in press. Fire Ecology. . ",NA,2019,"28045","58184","https://www.ncei.noaa.gov/access/paleo-search/study/28045"
"373","Western Uinta Mountains - IMPD USWUN001","USWUN001","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1533,2004,40.550196,-110.630496,2813,"JUSC, PICO, PIPO, PSME","Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.","https://doi.org/10.25921/zrnw-wc31",2021,"33250","58952","https://www.ncei.noaa.gov/access/paleo-search/study/33250"
"374","La Junta North","USLJN001","Johnson, L.B.; Margolis, E.Q.",1485,1950,36.4277,-105.375,NA,"PIPO, PSME","Johnson, L.B.; Margolis, E.Q. 2018. Surface fire to crown fire: fire history in the Taos Valley Watersheds, New Mexico, USA. Fire. . ","https://doi.org/10.25921/v5fm-k572",2018,"25770","57763","https://www.ncei.noaa.gov/access/paleo-search/study/25770"
"375","Middle Rio Pueblo","USMAN001","Johnson, L.B.; Margolis, E.Q.",1353,1783,36.443199,-105.401001,NA,"PISF","Johnson, L.B.; Margolis, E.Q. 2018. Surface fire to crown fire: fire history in the Taos Valley Watersheds, New Mexico, USA. Fire. . ","https://doi.org/10.25921/894s-sg07",2018,"25771","57765","https://www.ncei.noaa.gov/access/paleo-search/study/25771"
"376","Middle Rio Pueblo","USMRP002","Johnson, L.B.; Margolis, E.Q.",1528,1949,36.443199,-105.401001,NA,"JUSC, PIPO","Johnson, L.B.; Margolis, E.Q. 2018. Surface fire to crown fire: fire history in the Taos Valley Watersheds, New Mexico, USA. Fire. . ","https://doi.org/10.25921/raby-9e31",2018,"25772","57765","https://www.ncei.noaa.gov/access/paleo-search/study/25772"
"377","Pueblo Ridge Central","USPRC001","Johnson, L.B.; Margolis, E.Q.",1498,1910,36.380699,-105.421997,NA,"PIPO","Johnson, L.B.; Margolis, E.Q. 2018. Surface fire to crown fire: fire history in the Taos Valley Watersheds, New Mexico, USA. Fire. . ","https://doi.org/10.25921/ncbr-7x29",2018,"25773","57766","https://www.ncei.noaa.gov/access/paleo-search/study/25773"
"378","Pueblo Ridge East","USPRE001","Johnson, L.B.; Margolis, E.Q.",1498,1910,36.4133,-105.352997,NA,"PIPO","Johnson, L.B.; Margolis, E.Q. 2018. Surface fire to crown fire: fire history in the Taos Valley Watersheds, New Mexico, USA. Fire. . ","https://doi.org/10.25921/t7yd-xw72",2018,"25774","57767","https://www.ncei.noaa.gov/access/paleo-search/study/25774"
"379","Pueblo Ridge West","USPRW001","Johnson, L.B.; Margolis, E.Q.",1392,1945,36.3937,-105.467003,NA,"PIPO, PSME","Johnson, L.B.; Margolis, E.Q. 2018. Surface fire to crown fire: fire history in the Taos Valley Watersheds, New Mexico, USA. Fire. . ","https://doi.org/10.25921/f2cc-fy42",2018,"25775","57768","https://www.ncei.noaa.gov/access/paleo-search/study/25775"
"380","Rio Hondo","USRH-001","Johnson, L.B.; Margolis, E.Q.",1480,2016,36.592275,-105.450345,NA,"ABLA, PCEN, PISF, PPTR, PSME","Johnson, L.B.; Margolis, E.Q. 2018. Surface fire to crown fire: fire history in the Taos Valley Watersheds, New Mexico, USA. Fire. . ","https://doi.org/10.25921/m3kv-zv64",2018,"25778","57771","https://www.ncei.noaa.gov/access/paleo-search/study/25778"
"381","Upper Pine Flats","USUPF001","Johnson, L.B.; Margolis, E.Q.",1757,2009,36.451801,-105.478996,NA,"PIPO, PISF","Johnson, L.B.; Margolis, E.Q. 2018. Surface fire to crown fire: fire history in the Taos Valley Watersheds, New Mexico, USA. Fire. . ","https://doi.org/10.25921/kvvm-n681",2018,"25776","57769","https://www.ncei.noaa.gov/access/paleo-search/study/25776"
"382","Yerba Canyon","USYER001","Johnson, L.B.; Margolis, E.Q.",1343,2006,36.576099,-105.518997,NA,"PIPO, PISF","Johnson, L.B.; Margolis, E.Q. 2018. Surface fire to crown fire: fire history in the Taos Valley Watersheds, New Mexico, USA. Fire. . ","https://doi.org/10.25921/s0m4-gs39",2018,"25777","57770","https://www.ncei.noaa.gov/access/paleo-search/study/25777"
"383","Lubrecht Experimental Forest","USLUB001","Jones, L.A.; Heyerdahl, E.K.",1405,2004,46.88,-113.45,1433,"PIPO, PSME",NA,NA,2008,"6045","20363","https://www.ncei.noaa.gov/access/paleo-search/study/6045"
"384","Mt. Ord","USORD001","Kaib, M.; Swetnam, T.W.",1500,1999,33.92,-111.4,1710,"PIPO",NA,NA,2008,"2242","20365","https://www.ncei.noaa.gov/access/paleo-search/study/2242"
"385","Moore Canyon","USMCR002","Kaye, M.W.; Swetnam, T.W.",1608,1995,32.73,-105.82,2220,"PIPO",NA,NA,2008,"2244","20367","https://www.ncei.noaa.gov/access/paleo-search/study/2244"
"386","Water House Run East","USWHE00","Lawrence, N.; Saladyga, T.; Raso, C.; Miller, A.; Resler, L.",1939,2017,40.840098,-76.156942,545,"PIRI","Thomas Saladyga and Alecea Standlee. 2018. Historical Drivers and Contemporary Perceptions of Wildfire in a Post-Industrial Rural Landscape. Fire, 1(2), 33. doi: 10.3390/fire1020033",NA,2019,"28036","58130","https://www.ncei.noaa.gov/access/paleo-search/study/28036"
"387","Los Griegos Plot 1 - IMPD USLGR001","USLGR001","Margolis, E.Q.; Malevich, S.B.",1700,1993,35.800676,-106.552137,2813,"PIPO, PSME","Ellis Q.Margolis, Steven B.Malevich. 2016. Historical dominance of low-severity fire in dry and wet mixed-conifer forest habitats of the endangered terrestrial Jemez Mountains salamander (Plethodon neomexicanus). Forest Ecology and Management, 375, 12-26. doi: 10.1016/j.foreco.2016.05.011",NA,2020,"31419","58545","https://www.ncei.noaa.gov/access/paleo-search/study/31419"
"388","Los Griegos Plot 2 - IMPD USLGR002","USLGR002","Margolis, E.Q.; Malevich, S.B.",1411,1860,35.800676,-106.550756,2826,"PIPO, PSME","Ellis Q.Margolis, Steven B.Malevich. 2016. Historical dominance of low-severity fire in dry and wet mixed-conifer forest habitats of the endangered terrestrial Jemez Mountains salamander (Plethodon neomexicanus). Forest Ecology and Management, 375, 12-26. doi: 10.1016/j.foreco.2016.05.011",NA,2020,"31420","58546","https://www.ncei.noaa.gov/access/paleo-search/study/31420"
"389","Oat Canyon Plot 2 - IMPD USOAC002","USOAC002","Margolis, E.Q.; Malevich, S.B.",1688,1873,35.936964,-106.673992,2491,"PIPO, PSME","Ellis Q.Margolis, Steven B.Malevich. 2016. Historical dominance of low-severity fire in dry and wet mixed-conifer forest habitats of the endangered terrestrial Jemez Mountains salamander (Plethodon neomexicanus). Forest Ecology and Management, 375, 12-26. doi: 10.1016/j.foreco.2016.05.011",NA,2020,"31421","58547","https://www.ncei.noaa.gov/access/paleo-search/study/31421"
"390","Oat Canyon Plot 3 - IMPD USOAC003","USOAC003","Margolis, E.Q.; Malevich, S.B.",1653,1986,35.936839,-106.673516,2497,"PIPO, PSME","Ellis Q.Margolis, Steven B.Malevich. 2016. Historical dominance of low-severity fire in dry and wet mixed-conifer forest habitats of the endangered terrestrial Jemez Mountains salamander (Plethodon neomexicanus). Forest Ecology and Management, 375, 12-26. doi: 10.1016/j.foreco.2016.05.011",NA,2020,"31422","58548","https://www.ncei.noaa.gov/access/paleo-search/study/31422"
"391","Redondo Border South plot 1 - IMPD USRBS001","USRBS001","Margolis, E.Q.; Malevich, S.B.",1573,1847,35.897509,-106.582469,2880,"PIPO","Ellis Q.Margolis, Steven B.Malevich. 2016. Historical dominance of low-severity fire in dry and wet mixed-conifer forest habitats of the endangered terrestrial Jemez Mountains salamander (Plethodon neomexicanus). Forest Ecology and Management, 375, 12-26. doi: 10.1016/j.foreco.2016.05.011",NA,2020,"31423","58549","https://www.ncei.noaa.gov/access/paleo-search/study/31423"
"392","Redondo Border South plot 3 - IMPD USRBS003","USRBS003","Margolis, E.Q.; Malevich, S.B.",1515,1991,35.897918,-106.581802,2889,"ABCO, PIPO","Ellis Q.Margolis, Steven B.Malevich. 2016. Historical dominance of low-severity fire in dry and wet mixed-conifer forest habitats of the endangered terrestrial Jemez Mountains salamander (Plethodon neomexicanus). Forest Ecology and Management, 375, 12-26. doi: 10.1016/j.foreco.2016.05.011",NA,2020,"31424","58550","https://www.ncei.noaa.gov/access/paleo-search/study/31424"
"393","Rowe Mesa central - IMPD USROW001","USROW001","Margolis, E.Q.",1517,2010,35.391553,-105.642034,2234,"JUSC, PIPO","Margolis, Ellis Q. 2014. Fire regime shift linked to increased forest density in a pinon–juniper savanna landscape. International Journal of Wildland Fire, 23. doi: 10.1071/WF13053",NA,2020,"31292","58538","https://www.ncei.noaa.gov/access/paleo-search/study/31292"
"394","Rowe Mesa east - IMPD USROW002","USROW002","Margolis, E.Q.",1514,1926,35.393391,-105.530259,2329,"PIPO","Margolis, Ellis Q. 2014. Fire regime shift linked to increased forest density in a pinon–juniper savanna landscape. International Journal of Wildland Fire, 23. doi: 10.1071/WF13053",NA,2020,"31293","58539","https://www.ncei.noaa.gov/access/paleo-search/study/31293"
"395","Rowe Mesa north - IMPD USROW003","USROW003","Margolis, E.Q.",1639,2011,35.536282,-105.760359,2356,"PIED, PIPO, PSME","Margolis, Ellis Q. 2014. Fire regime shift linked to increased forest density in a pinon–juniper savanna landscape. International Journal of Wildland Fire, 23. doi: 10.1071/WF13053",NA,2020,"31294","58540","https://www.ncei.noaa.gov/access/paleo-search/study/31294"
"396","Rowe Mesa northeast - IMPD USROW004","USROW004","Margolis, E.Q.",1561,2011,35.464114,-105.663757,2340,"JUSC, PIPO","Margolis, Ellis Q. 2014. Fire regime shift linked to increased forest density in a pinon–juniper savanna landscape. International Journal of Wildland Fire, 23. doi: 10.1071/WF13053",NA,2020,"31295","58541","https://www.ncei.noaa.gov/access/paleo-search/study/31295"
"397","Rowe Mesa northwest - IMPD USROW005","USROW005","Margolis, E.Q.",1483,2010,35.457268,-105.727403,2177,"PIPO","Margolis, Ellis Q. 2014. Fire regime shift linked to increased forest density in a pinon–juniper savanna landscape. International Journal of Wildland Fire, 23. doi: 10.1071/WF13053",NA,2020,"31296","58542","https://www.ncei.noaa.gov/access/paleo-search/study/31296"
"398","Rowe Mesa south - IMPD USROW006","USROW006","Margolis, E.Q.",1560,2011,35.2679,-105.523792,2095,"JUSC, PIED, PIPO","Margolis, Ellis Q. 2014. Fire regime shift linked to increased forest density in a pinon–juniper savanna landscape. International Journal of Wildland Fire, 23. doi: 10.1071/WF13053",NA,2020,"31297","58543","https://www.ncei.noaa.gov/access/paleo-search/study/31297"
"399","Rowe Mesa southcentral - IMPD USROW007","USROW007","Margolis, E.Q.",1606,1947,35.327539,-105.559119,2207,"PIPO","Margolis, Ellis Q. 2014. Fire regime shift linked to increased forest density in a pinon–juniper savanna landscape. International Journal of Wildland Fire, 23. doi: 10.1071/WF13053",NA,2020,"31298","58544","https://www.ncei.noaa.gov/access/paleo-search/study/31298"
"400","Santa Fe Watershed mixed conifer","USSMC001","Margolis, E.Q.; Balmat, J.; Baisan, C.H.",1337,2008,35.731666,-105.7925,3050,"PIPO, PISF","Margolis,E.Q. and Balmat,J. 2009. Fire history and fire-climate relationships along a fire regime gradient in the Santa Fe Municipal Watershed, NM, USA. Forest Ecology and Management, 258, 2416-2430.",NA,2010,"10516","37167","https://www.ncei.noaa.gov/access/paleo-search/study/10516"
"401","Santa Fe Watershed ponderosa pine","USSPP001","Margolis, E.Q.; Balmat, J.; Baisan, C.H.",1296,2004,35.694166,-105.841388,2800,"PIPO, PISF","Margolis,E.Q. and Balmat,J. 2009. Fire history and fire-climate relationships along a fire regime gradient in the Santa Fe Municipal Watershed, NM, USA. Forest Ecology and Management, 258, 2416-2430.",NA,2010,"10518","37168","https://www.ncei.noaa.gov/access/paleo-search/study/10518"
"402","Seven Springs Plot 1 - IMPD USSS-001","USSS-001","Margolis, E.Q.; Malevich, S.B.",1379,1970,35.900643,-106.718534,2394,"PIPO","Ellis Q.Margolis, Steven B.Malevich. 2016. Historical dominance of low-severity fire in dry and wet mixed-conifer forest habitats of the endangered terrestrial Jemez Mountains salamander (Plethodon neomexicanus). Forest Ecology and Management, 375, 12-26. doi: 10.1016/j.foreco.2016.05.011",NA,2020,"31425","58551","https://www.ncei.noaa.gov/access/paleo-search/study/31425"
"403","Seven Springs Plot 2 - IMPD USSS-002","USSS-002","Margolis, E.Q.; Malevich, S.B.",1489,1966,35.902906,-106.717953,2444,"PIPO, PISF","Ellis Q.Margolis, Steven B.Malevich. 2016. Historical dominance of low-severity fire in dry and wet mixed-conifer forest habitats of the endangered terrestrial Jemez Mountains salamander (Plethodon neomexicanus). Forest Ecology and Management, 375, 12-26. doi: 10.1016/j.foreco.2016.05.011",NA,2020,"31426","58552","https://www.ncei.noaa.gov/access/paleo-search/study/31426"
"404","Twin Cabins plot 2 - IMPD USTWC002","USTWC002","Margolis, E.Q.; Malevich, S.B.",1465,2012,35.986859,-106.641545,2682,"ABCO, PIPO, PISF, PSME","Ellis Q.Margolis, Steven B.Malevich. 2016. Historical dominance of low-severity fire in dry and wet mixed-conifer forest habitats of the endangered terrestrial Jemez Mountains salamander (Plethodon neomexicanus). Forest Ecology and Management, 375, 12-26. doi: 10.1016/j.foreco.2016.05.011",NA,2020,"31427","58553","https://www.ncei.noaa.gov/access/paleo-search/study/31427"
"405","Twin Cabins plot 3 - IMPD USTWC003","USTWC003","Margolis, E.Q.; Malevich, S.B.",1747,2011,35.989015,-106.638654,2735,"PCEN, PIPO, PISF, PSME","Ellis Q.Margolis, Steven B.Malevich. 2016. Historical dominance of low-severity fire in dry and wet mixed-conifer forest habitats of the endangered terrestrial Jemez Mountains salamander (Plethodon neomexicanus). Forest Ecology and Management, 375, 12-26. doi: 10.1016/j.foreco.2016.05.011",NA,2020,"31428","58554","https://www.ncei.noaa.gov/access/paleo-search/study/31428"
"406","Anthony Burn (site 9)","USANT001","Maruoka, K.R.; Agee, J.K.",1800,1992,44.98,-118.15,1830,"PIPO",NA,NA,2008,"5566","20382","https://www.ncei.noaa.gov/access/paleo-search/study/5566"
"407","Dixie Butte (site 3)","USDIX001","Maruoka, K.R.; Agee, J.K.",1702,1992,44.55,-118.62,1600,"PIPO",NA,NA,2008,"5567","20383","https://www.ncei.noaa.gov/access/paleo-search/study/5567"
"408","East Camp Creek (site 5)","USCMP002","Maruoka, K.R.; Agee, J.K.",1570,1992,44.3,-118.2,1830,"PIPO",NA,NA,2007,"5568","20384","https://www.ncei.noaa.gov/access/paleo-search/study/5568"
"409","Finley Sale Area (site 13)","USFIN001","Maruoka, K.R.; Agee, J.K.",1767,1992,45.62,-118.1,1220,"PIPO",NA,NA,2008,"5569","20385","https://www.ncei.noaa.gov/access/paleo-search/study/5569"
"410","Five Mile Creek (site 6)","USFVM001","Maruoka, K.R.; Agee, J.K.",1699,1992,45.1,-119.05,1220,"PIPO",NA,NA,2008,"5570","20386","https://www.ncei.noaa.gov/access/paleo-search/study/5570"
"411","Little Bear Burn (site 7)","USLBB002","Maruoka, K.R.; Agee, J.K.",1710,1992,44.17,-118.75,1520,"PIPO",NA,NA,2007,"5571","20387","https://www.ncei.noaa.gov/access/paleo-search/study/5571"
"412","Raddue (site 2)","USRAD001","Maruoka, K.R.; Agee, J.K.",1739,1992,44.57,-119.22,1520,"PIPO",NA,NA,2007,"5572","20388","https://www.ncei.noaa.gov/access/paleo-search/study/5572"
"413","Seed Orchard (site 4)","USSDO001","Maruoka, K.R.; Agee, J.K.",1733,1992,44.55,-118.32,1310,"PIPO",NA,NA,2008,"5573","20389","https://www.ncei.noaa.gov/access/paleo-search/study/5573"
"414","Smoothing Iron Ridge (site 15)","USIRN001","Maruoka, K.R.; Agee, J.K.",1680,1992,46.18,-117.4,1520,"PIPO",NA,NA,2008,"5574","20390","https://www.ncei.noaa.gov/access/paleo-search/study/5574"
"415","Spaulding Gulch (site 11)","USSPG001","Maruoka, K.R.; Agee, J.K.",1696,1992,44.77,-118.27,1615,"PIPO",NA,NA,2008,"5575","20391","https://www.ncei.noaa.gov/access/paleo-search/study/5575"
"416","Spring Mountain (site 12)","USSPM001","Maruoka, K.R.; Agee, J.K.",1790,1992,45.47,-118.25,1070,"PIPO",NA,NA,2008,"5576","20392","https://www.ncei.noaa.gov/access/paleo-search/study/5576"
"417","Troy (site 14)","USTRY001","Maruoka, K.R.; Agee, J.K.",1713,1992,45.9,-117.72,1520,"PIPO",NA,NA,2008,"5577","20393","https://www.ncei.noaa.gov/access/paleo-search/study/5577"
"418","West Myrtle Creek (site 8)","USWMY001","Maruoka, K.R.; Agee, J.K.",1683,1992,43.93,-119.17,1830,"PIPO",NA,NA,2008,"5578","20394","https://www.ncei.noaa.gov/access/paleo-search/study/5578"
"419","Widow's Creek (site 1)","USWID001","Maruoka, K.R.; Agee, J.K.",1750,1992,44.3,-119.28,1520,"PIPO",NA,NA,2008,"5579","20395","https://www.ncei.noaa.gov/access/paleo-search/study/5579"
"420","New River Gorge National River USNRG001","USNRG001","Maxwell, R.S.; Hicks Jr., R.R.",1898,2005,38.05,-81.07,580,"PIVI",NA,NA,2011,"8472","22769","https://www.ncei.noaa.gov/access/paleo-search/study/8472"
"421","Wanoga Butte","USWAN001","Merschel, A.G.; Heyerdahl, E.K.; Spies, T.A.; Loehman, R.A.",1156,2015,43.929772,-121.539909,1600,"ABGR, PICO, PIPO","Merschel A.G.; Heyerdahl, E.K.; Spies, T.A.; and Loehman, R.A. Influence of landscape structure, topography, and forest type on spatial variation in historical fire regimes, central Oregon, USA (In Press 2018). Landscape Ecology. . ",NA,2018,"24130","57650","https://www.ncei.noaa.gov/access/paleo-search/study/24130"
"422","Fillmore Side Canyon","USFSR001","Morino, K.; Swetnam, T.W.; Baisan, C.H.",1312,1993,32.33,-106.57,2290,"PIPO",NA,NA,2008,"2265","20402","https://www.ncei.noaa.gov/access/paleo-search/study/2265"
"423","Fillmore Side Canyon 2","USFST001","Morino, K.; Swetnam, T.W.; Baisan, C.H.",1312,1993,32.33,-106.57,2300,"PIPO, PSME",NA,NA,2004,"2266","20403","https://www.ncei.noaa.gov/access/paleo-search/study/2266"
"424","Ledge Site","USLDG001","Morino, K.; Swetnam, T.W.; Baisan, C.H.",1312,1993,32.33,-106.57,2380,"PIPO",NA,NA,2008,"2267","20404","https://www.ncei.noaa.gov/access/paleo-search/study/2267"
"425","Narrows","USNAR001","Morino, K.; Swetnam, T.W.; Baisan, C.H.",1312,1993,32.33,-106.57,2160,"PIED, PIPO",NA,NA,2004,"2268","20405","https://www.ncei.noaa.gov/access/paleo-search/study/2268"
"426","North Alamo Bog","USNAB001","Morino, K.; Baisan, C.H.; Swetnam, T.W.",1412,1996,35.92,-106.58,NA,"PIFL, PIPO",NA,NA,2004,"2269","20406","https://www.ncei.noaa.gov/access/paleo-search/study/2269"
"427","Old Pine Bluff","USOPB001","Morino, K.; Baisan, C.H.; Swetnam, T.W.",1312,1993,32.33,-106.55,2360,"PIED, PIPO",NA,NA,2004,"2270","20407","https://www.ncei.noaa.gov/access/paleo-search/study/2270"
"428","Rock House Spring","USRKH001","Morino, K.; Swetnam, T.W.",1449,1993,32.33,-106.55,2435,"",NA,NA,2008,"2271","20408","https://www.ncei.noaa.gov/access/paleo-search/study/2271"
"429","Upper Fillmore Side Canyon #1","USSCI001","Morino, K.; Swetnam, T.W.; Baisan, C.H.",1312,1993,32.33,-106.57,2250,"PIPO",NA,NA,2008,"2272","20409","https://www.ncei.noaa.gov/access/paleo-search/study/2272"
"430","Upper Filmore West","USUFW001","Morino, K.; Swetnam, T.W.; Baisan, C.H.",1312,1993,32.33,-106.55,2440,"PIPO",NA,NA,2008,"2273","20410","https://www.ncei.noaa.gov/access/paleo-search/study/2273"
"431","NAFSS",NA,"Margolis, E.Q.; Guiterman, C.H.",0,2019,13.2399,71.5249,NA,"","Margolis, E., Guiterman, C., Chavardès, R., Coop, J., Copes-Gerbitz, K., Dawe, D., Falk, D., Johnston, J., Larson, E., Li, H., Marschall, J., Naficy, C., Naito, A., Parisien, M., Parks, S., Portier, J., Poulos, H., Robertson, K., Speer, J., Stambaugh, M., Swetnam, T., Tepley, A., Thapa, I., Allen, C., Bergeron, Y., Daniels, L., Fulé, P., Gervais, D., Girardin, M., Harley, G., Harvey, J., Hoffman, K., Huffman, J., Hurteau, M., Johnson, L., Lafon, C., Lopez, M., Maxwell, R., Meunier, J., North, M., Rother, M., Schmidt, M., Sherriff, R., Stachowiak, L., Taylor, A., Taylor, E., Trouet, V., Villarreal, M., Yocom, L., Arabas, K., Arizpe, A., Arseneault, D., Azpeleta Tarancón, A., Baisan, C., Bigio, E., Biondi, F., Cahalan, G., Caprio, A., Cerano-Paredes, J., Collins, B., Dey, D., Drobyshev, I., Farris, C., Fenwick, M., Flatley, W., Floyd, M., Gedalof, Z., Holz, A., Howard, L., Huffman, D., Iniguez, J., Kipfmueller, K., Kitchen, S., Lombardo, K., McKenzie, D., Merschel, A., Metlen, K., Minor, J., O'Connor, C., Platt, L., Platt, W., Saladyga, T., Stan, A., Stephens, S., Sutheimer, C., Touchan, R., and Weisberg, P. The North American Fire Scar Network. (Submitted).","https://doi.org/10.25921/pef0-zz47",2021,"34853","59137","https://www.ncei.noaa.gov/access/paleo-search/study/34853"
"432","Baker Riparian","USBAK001","Olson, D.; Heyerdahl, E.K.; Harley, G.L.",1329,1889,44.77594,-117.98694,1450,"","Heyerdahl, E.K., L.B. Brubaker, and J.K. Agee. 2001. Spatial controls of historical fire regimes:  a multiscale example from the Interior West, USA. Ecology, 82, 660-678. ; Harley, G.L.; E.K. Heyerdahl; J.D. Johnston; D.L. Olson. 2020. Riparian and adjacent upland forests burned synchronously during dry years 2 in eastern Oregon (1650-1900 CE), USA (in press). International Journal of Wildland Fire. . ; Olson, Diana L. 2000. Fire in Riparian Zones : a Comparison of Historical Fire Occurrence in Riparian and Upslope Forests in the Blue Mountains and Southern Cascades of Oregon. Thesis. . ",NA,2020,"28891","58267","https://www.ncei.noaa.gov/access/paleo-search/study/28891"
"433","Dugout Riparian",NA,"Olson, D.; Heyerdahl, E.K.; Harley, G.L.",1360,1997,44.20414,-118.37255,1566,"","Heyerdahl, E.K., L.B. Brubaker, and J.K. Agee. 2001. Spatial controls of historical fire regimes:  a multiscale example from the Interior West, USA. Ecology, 82, 660-678. ; Harley, G.L.; E.K. Heyerdahl; J.D. Johnston; D.L. Olson. 2020. Riparian and adjacent upland forests burned synchronously during dry years 2 in eastern Oregon (1650-1900 CE), USA (in press). International Journal of Wildland Fire. . ; Olson, Diana L. 2000. Fire in Riparian Zones : a Comparison of Historical Fire Occurrence in Riparian and Upslope Forests in the Blue Mountains and Southern Cascades of Oregon. Thesis. . ",NA,2020,"28892","58268","https://www.ncei.noaa.gov/access/paleo-search/study/28892"
"434","Middle Langstroth Canyon","USMLC001","Peck, R.A.; Swetnam, T.W.",1520,1995,33.27,-108.55,NA,"",NA,NA,2004,"2274","20411","https://www.ncei.noaa.gov/access/paleo-search/study/2274"
"435","Rose Canyon East","USRSE001","Peterson, D.L.; Baisan, C.H.; Caprio, A.C.",1400,1996,32.4,-110.7,2210,"",NA,NA,2008,"2279","20416","https://www.ncei.noaa.gov/access/paleo-search/study/2279"
"436","Big Bend National Park","USBBP001","Poulos, H.M.; Gatewood, R.; Camp, A.E.",1700,2006,29.25,-103.25,2200,"PICM",NA,NA,2009,"8412","22708","https://www.ncei.noaa.gov/access/paleo-search/study/8412"
"437","Davis Mountains","USDMT001","Poulos, H.M.; Gatewood, R.; Camp, A.E.",1700,2006,30.5,-104,2200,"PICM",NA,NA,2009,"8413","22709","https://www.ncei.noaa.gov/access/paleo-search/study/8413"
"438","Abandoned Road","USARD001","Saladyga, T.; Lawrence, N.; Raso, C.; Miller, A.; Resler, L.",1920,2017,40.8452,-76.14683,548,"PIRI","Thomas Saladyga and Alecea Standlee. 2018. Historical Drivers and Contemporary Perceptions of Wildfire in a Post-Industrial Rural Landscape. Fire, 1(2), 33. doi: 10.3390/fire1020033",NA,2019,"28030","58124","https://www.ncei.noaa.gov/access/paleo-search/study/28030"
"439","Mill Creek","USMIL001","Saladyga, T.; Lawrence, N.; Raso, C.; Miller, A.; Resler, L.",1934,2017,40.77086,-76.16669,478,"PIRI","Thomas Saladyga and Alecea Standlee. 2018. Historical Drivers and Contemporary Perceptions of Wildfire in a Post-Industrial Rural Landscape. Fire, 1(2), 33. doi: 10.3390/fire1020033",NA,2019,"28031","58125","https://www.ncei.noaa.gov/access/paleo-search/study/28031"
"440","Spring Mountain Central","USSMC002","Saladyga, T.; Raso, C.; Testerman, C.",1852,2015,40.88527,-76.03148,573,"PIRI","Thomas Saladyga and Alecea Standlee. 2018. Historical Drivers and Contemporary Perceptions of Wildfire in a Post-Industrial Rural Landscape. Fire, 1(2), 33. doi: 10.3390/fire1020033",NA,2019,"28032","58126","https://www.ncei.noaa.gov/access/paleo-search/study/28032"
"441","Spring Mountain East","USSME001","Saladyga, T.; Raso, C.; Testerman, C.",NA,NA,40.887063,-76.024454,595,"PIRI","Thomas Saladyga and Alecea Standlee. 2018. Historical Drivers and Contemporary Perceptions of Wildfire in a Post-Industrial Rural Landscape. Fire, 1(2), 33. doi: 10.3390/fire1020033",NA,2019,"28033","58127","https://www.ncei.noaa.gov/access/paleo-search/study/28033"
"442","Spring Mountain West","USSMW001","Saladyga, T.; Raso, C.; Testerman, C.",1841,2015,40.884097,-76.039611,563,"PIRI","Thomas Saladyga and Alecea Standlee. 2018. Historical Drivers and Contemporary Perceptions of Wildfire in a Post-Industrial Rural Landscape. Fire, 1(2), 33. doi: 10.3390/fire1020033",NA,2019,"28034","58128","https://www.ncei.noaa.gov/access/paleo-search/study/28034"
"443","Tar Run","USTAR001","Saladyga, T.; Lawrence, N.; Raso, C.; Miller, A.",1882,2015,40.757176,-76.240169,510,"PIRI","Thomas Saladyga and Alecea Standlee. 2018. Historical Drivers and Contemporary Perceptions of Wildfire in a Post-Industrial Rural Landscape. Fire, 1(2), 33. doi: 10.3390/fire1020033",NA,2019,"28035","58129","https://www.ncei.noaa.gov/access/paleo-search/study/28035"
"444","Waste House Run West","USWHW001","Saladyga, T.; Lawrence, N.; Raso, C.; Miller, A.",1882,2017,40.840051,-76.170127,532,"PIRI","Thomas Saladyga and Alecea Standlee. 2018. Historical Drivers and Contemporary Perceptions of Wildfire in a Post-Industrial Rural Landscape. Fire, 1(2), 33. doi: 10.3390/fire1020033",NA,2019,"28037","58135","https://www.ncei.noaa.gov/access/paleo-search/study/28037"
"445","Wolf Creek","WLF001","Saladyga, T.; Lawrence, N.; Raso, C.; Miller, A.",1923,2017,40.752677,-76.148994,480,"PIRI","Thomas Saladyga and Alecea Standlee. 2018. Historical Drivers and Contemporary Perceptions of Wildfire in a Post-Industrial Rural Landscape. Fire, 1(2), 33. doi: 10.3390/fire1020033",NA,2019,"28038","58137","https://www.ncei.noaa.gov/access/paleo-search/study/28038"
