"","siteName","studyCode","investigators","first_year","last_year","latitude","longitude","elevation","species","reference","doi","contr_year","NOAAStudyId","NOAASiteId","url"
"264","Little Park","USLPK001","Fulé, P.Z.; Crouse, J.E.; Heinlein, T.A.; Moore, M.M.; Covington, W.W.",1500,2000,36.33139,-112.125336,2600,"PIPO, PSME","Fulé, P.Z., J.E. Crouse, T.A. Heinlein, M.M. Moore, W.W. Covington,
and G. Verkamp.  2003.  Mixed-severity fire regime in a high-elevation forest
of Grand Canyon, Arizona, USA.  Landscape Ecology 18:465-486.",NA,2003,"9751","31446","https://www.ncei.noaa.gov/access/paleo-search/study/9751"
"265","Powell Plateau","USPP_001","Fulé, P.Z.; Heinlein, T.A.; Covington, W.W.; Moore, M.M.; Roccaforte, J.P.",1550,1997,36.3,-112.4,2336,"PIPO",NA,NA,2007,"2186","20285","https://www.ncei.noaa.gov/access/paleo-search/study/2186"
"266","Rainbow Plateau","USRP_001","Fulé, P.Z.; Heinlein, T.A.; Covington, W.W.; Moore, M.M.; Roccaforte, J.P.",1620,1997,36.32,-112.32,2335,"PIPO",NA,NA,2003,"2187","20286","https://www.ncei.noaa.gov/access/paleo-search/study/2187"
"267","Swamp Ridge","USSR_001","Fulé, P.Z.; Heinlein, T.A.; Covington, W.W.; Moore, M.M.; Roccaforte, J.P.",1600,1998,36.33,-112.28,2537,"PIPO",NA,NA,2008,"2188","20287","https://www.ncei.noaa.gov/access/paleo-search/study/2188"
"268","Benson Creek","USBCK001","Grissino-Mayer, H.D.; Romme, W.H.; Floyd-Hanna, L.; Hanna, D.",1622,1994,37.13,-106.87,2500,"PIPO",NA,NA,2004,"2194","20293","https://www.ncei.noaa.gov/access/paleo-search/study/2194"
"269","Burnette Canyon","USBCN001","Grissino-Mayer, H.D.; Romme, W.H.; Floyd-Hanna, L.; Hanna, D.",1674,1994,37.58,-108.13,2790,"PIPO",NA,NA,2008,"2195","20294","https://www.ncei.noaa.gov/access/paleo-search/study/2195"
"270","Camp Point, Mount Graham","USCMP001","Grissino-Mayer, H.D.; Baisan, C.H.; Swetnam, T.W.",1534,1993,32.7,-109.92,2900,"PIPO, PISF",NA,NA,2004,"2196","20295","https://www.ncei.noaa.gov/access/paleo-search/study/2196"
"271","Candelaria","USCAN001","Grissino-Mayer, H.D.; Swetnam, T.W.",1655,1993,35,-108.08,2390,"PIPO",NA,NA,2009,"2197","20296","https://www.ncei.noaa.gov/access/paleo-search/study/2197"
"272","Cerro Bandera East","USCBE001","Grissino-Mayer, H.D.; Swetnam, T.W.",1563,1991,34.98,-108.1,2505,"PIPO",NA,NA,2008,"2198","20297","https://www.ncei.noaa.gov/access/paleo-search/study/2198"
"273","Cerro Bandera North","USCBN001","Grissino-Mayer, H.D.; Swetnam, T.W.",1361,1993,35,-108.1,2420,"PIPO",NA,NA,2008,"2199","20298","https://www.ncei.noaa.gov/access/paleo-search/study/2199"
"274","Cerro Rendija","USCER001","Grissino-Mayer, H.D.; Swetnam, T.W.",1548,1992,34.95,-108.12,2445,"PIPO",NA,NA,2004,"2200","20299","https://www.ncei.noaa.gov/access/paleo-search/study/2200"
"275","El Calderon","USCAL001","Grissino-Mayer, H.D.; Swetnam, T.W.",1558,1992,34.98,-107.98,2200,"PIPO",NA,NA,2004,"2201","20300","https://www.ncei.noaa.gov/access/paleo-search/study/2201"
"276","Five Pine Canyon","USFPC001","Grissino-Mayer, H.D.; Romme, W.H.; Floyd-Hanna, L.; Hanna, D.",1247,1994,37.68,-108.68,2310,"PIPO",NA,NA,2004,"2202","20301","https://www.ncei.noaa.gov/access/paleo-search/study/2202"
"277","Hermosa Creek","USHCK002","Grissino-Mayer, H.D.; Romme, W.H.; Floyd-Hanna, L.; Hanna, D.",1550,1994,37.47,-107.83,2485,"PIPO",NA,NA,2004,"2203","20302","https://www.ncei.noaa.gov/access/paleo-search/study/2203"
"278","Hidden Kipuka","USKIP001","Grissino-Mayer, H.D.; Swetnam, T.W.",1570,1991,34.9,-108.05,2260,"PIPO",NA,NA,2008,"2204","20303","https://www.ncei.noaa.gov/access/paleo-search/study/2204"
"279","Hoya de Cibola Lava Flow","USHFL001","Grissino-Mayer, H.D.; Swetnam, T.W.",1333,1991,34.9,-108.15,2289,"PIPO",NA,NA,2008,"2205","20304","https://www.ncei.noaa.gov/access/paleo-search/study/2205"
"280","La Marchanita","USLAM001","Grissino-Mayer, H.D.; Swetnam, T.W.",1342,1991,34.98,-108.07,2408,"PIPO",NA,NA,2004,"2206","20305","https://www.ncei.noaa.gov/access/paleo-search/study/2206"
"281","Lost Woman","USLWN001","Grissino-Mayer, H.D.; Swetnam, T.W.",1467,1992,34.97,-108.08,2380,"PIPO",NA,NA,2008,"2207","20306","https://www.ncei.noaa.gov/access/paleo-search/study/2207"
"282","Mesita Blanca","USMES001","Grissino-Mayer, H.D.; Swetnam, T.W.",1407,1991,34.88,-108.07,2255,"PIPO",NA,NA,2004,"2208","20307","https://www.ncei.noaa.gov/access/paleo-search/study/2208"
"283","Monument","USMNT001","Grissino-Mayer, H.D.; Romme, W.H.; Floyd-Hanna, L.; Hanna, D.",1524,1994,37.32,-107.2,2515,"PIPO",NA,NA,2008,"2209","20308","https://www.ncei.noaa.gov/access/paleo-search/study/2209"
"284","Mount Lemmon, Santa Catalina Mountains","USLEM001","Grissino-Mayer, H.D.; Morino, K.; Baisan, C.H.; Swetnam, T.W.",1436,1995,32.43,-110.78,2743,"PISF",NA,NA,2008,"2210","20309","https://www.ncei.noaa.gov/access/paleo-search/study/2210"
"285","Peters Flat","USPET001","Grissino-Mayer, H.D.; Swetnam, T.W.; Baisan, C.H.",1376,1993,32.7,-109.93,2972,"PIPO, PISF",NA,NA,2008,"2211","20310","https://www.ncei.noaa.gov/access/paleo-search/study/2211"
"286","Plateau","USPLT001","Grissino-Mayer, H.D.; Romme, W.H.; Floyd-Hanna, L.; Hanna, D.",1555,1994,37.63,-108.47,2425,"PIPO",NA,NA,2008,"2212","20311","https://www.ncei.noaa.gov/access/paleo-search/study/2212"
"287","Rustler Park, Chiricahua Mountains","USRPK001","Grissino-Mayer, H.D.; Seklecki, M.T.; Swetnam, T.W.",1614,1995,31.9,-109.27,2560,"PIPO",NA,NA,2008,"2213","20312","https://www.ncei.noaa.gov/access/paleo-search/study/2213"
"288","Smoothing Iron","USSMI001","Grissino-Mayer, H.D.; Romme, W.H.; Floyd-Hanna, L.; Hanna, D.",1622,1994,37.53,-108.35,2515,"PIPO",NA,NA,2008,"2214","20313","https://www.ncei.noaa.gov/access/paleo-search/study/2214"
